Yoshinobu Yamamoto|R|22|6.18|6.25|19.82|20.13|0.359|0.158|98|0
Sean Burke|R|21|6.1|7.38|16.43|17.75|0.44|0.187|91|0
Kyle Harrison|L|20|6.1|5.63|14.75|14.5|0.57|0.253|85|0.05
Parker Messick|L|25|6.08|5.75|17.88|18|0.364|0.16|92|0
Max Meyer|R|20|6.05|5.88|16.65|16.63|0.254|0.179|89|0.05
Eury Pérez|R|22|6.05|6.5|16.73|18.75|0.377|0.174|91|0
Joe Ryan|R|23|6|5.75|16.39|16.25|0.379|0.265|91|0.043
Cade Cavalli|R|27|6|7.13|15.85|18.75|0.547|0.283|87|0.037
MacKenzie Gore|L|26|5.92|6.25|16.12|16.38|0.363|0.245|91|0.038
Ryan Weathers|L|24|5.83|5.25|16.75|17.13|0.37|0.251|92|0.042
Christian Scott|R|18|5.83|6.5|14.11|14.88|0.295|0.239|85|0.056
Drew Rasmussen|R|24|5.75|5.5|16.79|15.88|0.49|0.212|87|0.042
Spencer Strider|R|8|5.75|5.75|14.63|14.63|0.413|0.239|86|0
Bryan Woo|R|24|5.71|5.63|17.29|17|0.427|0.183|88|0.042
Sean Manaea|L|12|5.67|6.13|17|18|0.386|0.193|93|0.083
Kris Bubic|L|9|5.67|5.88|16.78|16.63|0.467|0.183|90|0
Cole Ragans|L|8|5.63|5.63|13.25|13.25|0.593|0.425|80|0
Aaron Nola|R|26|5.62|6.5|15.81|16.88|0.338|0.156|91|0
Carlos Rodón|L|10|5.6|5.75|15.1|15.88|0.269|0.167|89|0
Shota Imanaga|L|25|5.6|6|17.2|16.88|0.458|0.14|90|0
Hunter Brown|R|13|5.54|5|15.85|16.25|0.358|0.198|92|0.077
Bryce Miller|R|15|5.53|4.13|16.93|16.5|0.511|0.154|85|0
Jack Leiter|R|15|5.53|5|16|15.75|0.468|0.174|93|0
Connor Prielipp|L|17|5.53|5.63|15.47|16.5|0.384|0.137|89|0
Gage Jump|L|16|5.5|5.88|15.38|14.63|0.492|0.23|90|0
Kevin Gausman|R|26|5.5|5.38|16.54|15.88|0.437|0.2|93|0.038
Connelly Early|L|17|5.47|6|16.18|16.5|0.304|0.191|90|0
Peter Lambert|R|22|5.45|5.75|16.68|15.88|0.361|0.155|94|0.045
José Soriano|R|25|5.44|4.25|16.72|16.63|0.454|0.2|93|0.04
Luis Severino|R|12|5.42|5.13|15.67|16.25|0.488|0.322|91|0.083
Emmet Sheehan|R|20|5.4|5.5|14.3|13.5|0.414|0.273|85|0.05
Lance McCullers Jr.|R|8|5.38|5.38|14.75|14.75|0.444|0.266|87|0
Jack Flaherty|R|19|5.37|5.88|13.63|14.75|0.466|0.259|86|0.053
Jack Perkins|R|11|5.36|5.38|13.82|14.13|0.419|0.177|83|0
Joey Cantillo|L|26|5.35|6.25|14.5|13|0.446|0.277|84|0.077
Dean Kremer|R|10|5.3|4.63|16|15.88|0.378|0.177|86|0
Shane Baz|R|25|5.28|5.63|17.48|16.75|0.459|0.185|95|0.04
Max Fried|L|15|5.27|5.25|17.27|14.63|0.348|0.255|86|0
Foster Griffin|L|25|5.24|4.13|17.32|17.25|0.468|0.162|93|0
Brandon Woodruff|R|9|5.22|5.13|15.11|15.13|0.447|0.33|71|0.111
Troy Melton|R|14|5.21|6|18.07|17.5|0.406|0.163|89|0
Landen Roupp|R|25|5.2|3.88|16.16|17.13|0.364|0.223|95|0.04
Michael Soroka|R|17|5.18|4.13|16.24|16.13|0.526|0.283|85|0.059
Roki Sasaki|R|22|5.18|5.25|15.82|16.5|0.411|0.199|90|0.045
Emerson Hancock|R|23|5.17|4.75|16.7|16.13|0.514|0.207|87|0.043
Kyle Bradish|R|25|5.16|4.13|16.64|17.13|0.467|0.24|92|0
Ranger Suarez|L|22|5.14|4.75|15.45|13.75|0.504|0.264|83|0
Tyler Mahle|R|21|5.14|5.5|16.19|17.5|0.37|0.162|88|0
Shane Drohan|L|14|5.14|5.75|15.79|17.38|0.395|0.197|84|0.071
Jared Jones|R|14|5.14|5.88|13.71|14.63|0.357|0.219|75|0
Ben Brown|R|8|5.13|5.13|15.88|15.88|0.32|0.195|75|0
Noah Cameron|L|23|5.13|5.38|17.13|19.25|0.503|0.238|94|0
Spencer Arrighetti|R|17|5.12|5.13|15.53|13.88|0.498|0.295|88|0.059
Walbert Ureña|R|21|5.1|5|15.86|15.38|0.316|0.199|89|0.048
Sonny Gray|R|23|5.09|5.25|17.3|18.38|0.523|0.202|84|0.043
Trey Yesavage|R|18|5.06|4.75|15.61|14.5|0.491|0.299|86|0.111
Will Warren|R|24|5.04|4.63|15.17|14|0.501|0.207|87|0
Griffin Jax|R|18|5|6.75|13.78|16|0.513|0.253|68|0.056
Logan Webb|R|22|5|4.25|18.95|18.25|0.349|0.21|94|0.045
Casey Mize|R|19|5|4.63|16.11|16.5|0.442|0.246|82|0.053
J.T. Ginn|R|22|5|5.13|16.41|16.75|0.419|0.244|87|0.045
Matthew Liberatore|L|25|5|5.75|15|15.88|0.486|0.198|84|0.04
Freddy Peralta|R|25|4.92|4.38|15.36|13.75|0.415|0.184|94|0.04
Michael King|R|26|4.92|5|17.19|17.5|0.34|0.141|93|0.038
Dustin May|R|24|4.92|5|15.5|14.88|0.505|0.349|83|0.042
Justin Wrobleski|L|20|4.9|6.25|18.35|17.63|0.584|0.204|92|0.05
Brandon Sproat|R|19|4.89|5.38|13.95|13.38|0.379|0.236|83|0
George Kirby|R|24|4.88|4.13|17.5|16.5|0.398|0.202|91|0.042
Sandy Alcantara|R|27|4.85|4.88|19.63|19.88|0.419|0.156|99|0.037
Robert Gasser|L|15|4.8|4.5|15.4|15.5|0.297|0.226|86|0
Michael Wacha|R|25|4.8|4.5|18.68|17.63|0.39|0.141|94|0
Jake Irvin|R|15|4.8|4.13|14.27|13.75|0.426|0.173|85|0.067
Tatsuya Imai|R|15|4.8|5.5|11.73|11|0.744|0.567|77|0
Zebby Matthews|R|17|4.76|4.38|17.06|15.13|0.436|0.192|92|0.059
Kodai Senga|R|8|4.75|4.75|11.88|11.88|0.537|0.329|75|0
Bryce Elder|R|24|4.71|4.25|17.21|16.13|0.458|0.197|86|0.042
Trevor Rogers|L|23|4.7|5.88|16.39|17.38|0.403|0.23|89|0.043
Griffin Canning|R|11|4.64|4.63|13.73|14.75|0.324|0.265|78|0.091
Davis Martin|R|24|4.63|2.63|15.63|12|0.555|0.291|85|0.083
Kyle Leahy|R|24|4.63|5.5|15.29|15.38|0.497|0.149|84|0.042
Brandon Young|R|21|4.57|4.88|16.81|17|0.357|0.186|90|0
Luis Castillo|R|20|4.55|4.13|15.6|16.75|0.437|0.199|93|0
Robbie Ray|L|24|4.54|4.38|16.42|15.75|0.395|0.203|93|0
Matthew Boyd|L|15|4.53|3.88|17|19.25|0.471|0.191|89|0
Tanner Bibee|R|26|4.5|4.25|17.35|18|0.492|0.215|90|0.038
JR Ritchie|R|8|4.5|4.5|14.88|14.88|0.376|0.195|90|0
Kyle Freeland|L|23|4.48|4.38|16.22|17.75|0.471|0.245|87|0
Shane McClanahan|L|21|4.48|3.5|14.62|14.38|0.321|0.184|76|0.048
Edward Cabrera|R|15|4.47|3.75|15.2|13|0.405|0.211|85|0
Framber Valdez|L|25|4.44|4.25|16.64|16.13|0.516|0.25|89|0.04
Jameson Taillon|R|17|4.41|4.13|14.82|12.5|0.432|0.272|83|0.059
Bubba Chandler|R|23|4.39|4.38|15.13|15.75|0.494|0.167|86|0.043
Jake Bennett|L|14|4.36|4.5|17.29|17.88|0.428|0.158|82|0
Grayson Rodriguez|R|14|4.36|4.63|14.14|15.13|0.498|0.277|86|0
Mike Burrows|R|17|4.35|3.5|16.53|16.25|0.414|0.137|92|0
David Peterson|L|16|4.31|3.88|15.06|16.13|0.412|0.167|84|0
Kai-Wei Teng|R|10|4.3|5|13.2|14.25|0.685|0.262|76|0
Jacob Lopez|L|17|4.29|5.25|14|13.63|0.581|0.28|83|0.118
Anthony Kay|L|24|4.29|4.63|15.04|16.25|0.415|0.168|87|0
Brady Singer|R|25|4.28|4.5|15.8|18.5|0.424|0.234|91|0.04
Seth Lugo|R|26|4.27|3.88|16.77|16.75|0.422|0.172|90|0.038
Reynaldo López|R|11|4.27|4.25|13.55|12.75|0.503|0.309|78|0.091
Eduardo Rodriguez|L|25|4.24|4.38|17.92|17.75|0.393|0.225|95|0.08
Kumar Rocker|R|22|4.23|4.88|14.77|15.38|0.334|0.228|84|0.045
Andrew Alvarez|L|11|4.18|4|14.55|15.25|0.318|0.167|78|0
Clay Holmes|R|12|4.17|4.25|17.17|17.13|0.51|0.174|89|0
Walker Buehler|R|25|4.16|3.5|14.44|14.38|0.426|0.227|82|0.04
Rhett Lowder|R|19|4.16|4.63|14.84|15.63|0.455|0.299|84|0.053
Andrew Abbott|L|26|4.15|4.38|16.08|16.63|0.407|0.158|93|0.038
Ryne Nelson|R|15|4.13|4.25|16.67|19.5|0.474|0.331|86|0.067
Nick Lodolo|L|14|4.07|4|15.36|14.63|0.391|0.157|88|0
Trevor McDonald|R|14|4.07|3.25|15.07|13.63|0.496|0.3|81|0
Mitch Keller|R|22|4.05|3.88|15.77|14.5|0.354|0.234|86|0.045
Andre Pallante|R|24|4.04|3.63|17|17.5|0.47|0.151|92|0.042
Grant Holmes|R|24|4|3.63|14.96|15.5|0.43|0.208|80|0.042
Slade Cecconi|R|21|4|3.75|15.33|14.88|0.387|0.18|85|0
Zac Thornton|L|9|4|4.13|16.78|17.25|0.515|0.157|82|0
Shane Bieber|R|11|4|4.38|15.18|16|0.5|0.357|85|0.091
Colin Rea|R|19|3.95|4.25|15.89|16.38|0.418|0.155|87|0.053
Noah Schultz|L|14|3.93|3.63|12.93|11.63|0.56|0.327|77|0.071
Jeffrey Springs|L|23|3.87|2.63|14.83|13|0.501|0.255|85|0.043
Andrew Painter|R|16|3.81|3.88|14.13|13.75|0.535|0.244|82|0.063
Michael McGreevy|R|25|3.8|4.38|16.48|15.75|0.515|0.185|89|0.04
Cal Quantrill|R|9|3.78|4.13|14.78|15.88|0.574|0.296|72|0.111
Brandon Pfaadt|R|13|3.77|3.75|17.77|18.75|0.595|0.134|86|0
Luinder Avila|R|12|3.75|4.13|12.92|14.25|0.51|0.358|79|0.083
Bailey Ober|R|19|3.74|3.5|16.32|15.5|0.673|0.213|86|0
Carmen Mlodzinski|R|12|3.67|2.88|13.08|12.63|0.825|0.264|80|0
Janson Junk|R|18|3.67|3.25|15.44|14.13|0.408|0.178|82|0.056
Ryan Johnson|R|12|3.67|3.63|13.83|13.5|0.574|0.171|83|0
Merrill Kelly|R|23|3.65|3.88|16.83|15.88|0.434|0.196|90|0
Ryan Gusto|R|11|3.64|4.25|12.09|12.63|0.481|0.27|66|0
Jack Kochanowicz|R|13|3.62|3.5|14.77|13.13|0.683|0.39|85|0.077
Martín Pérez|L|20|3.6|2.88|15.3|14.75|0.594|0.17|80|0.05
Aaron Civale|R|15|3.6|3.38|14.47|13.38|0.443|0.15|84|0.067
Adrian Houser|R|15|3.53|4.25|14.4|13.38|0.384|0.275|79|0.067
Erick Fedde|R|12|3.5|3.13|14.42|13.5|0.48|0.19|80|0
Javier Assad|R|10|3.5|3.63|15.6|15.75|0.431|0.118|84|0
Keider Montero|R|21|3.48|3.13|17.05|17.63|0.614|0.139|81|0
Patrick Corbin|L|15|3.47|3.75|13.8|13|0.498|0.182|81|0
Eric Lauer|L|17|3.47|3.88|15.41|16.75|0.661|0.208|85|0.059
Nick Martinez|R|24|3.46|3.13|17.71|17.63|0.475|0.194|83|0
Steven Matz|L|11|3.45|2.63|12.82|11.63|0.689|0.447|73|0
Chris Paddack|R|9|3.44|3.13|13.67|13.88|0.698|0.204|83|0.111
Stephen Kolek|R|10|3.4|3.13|16.2|16.25|0.736|0.422|84|0
Ryan Feltner|R|19|3.37|3.63|14.53|14.63|0.604|0.259|80|0.105
Germán Márquez|R|10|3.3|3.5|13.2|13.5|0.43|0.283|76|0
Tyler Phillips|R|14|3.29|3.25|13.71|12.38|0.469|0.315|71|0.071
Michael Lorenzen|R|25|3.28|2|13.76|12.75|0.574|0.226|87|0
Zac Gallen|R|19|3.21|2.63|15.47|16.38|0.493|0.185|87|0.053
Randy Vásquez|R|19|3.21|1.75|14.89|12.75|0.795|0.232|81|0
Tomoyuki Sugano|R|22|3.14|3.5|16.18|17|0.409|0.127|86|0.045
Mitch Bratt|L|8|3.13|3.13|13.75|13.75|0.912|0.327|76|0
Chris Bassitt|R|12|3|3.63|14.25|15.38|0.651|0.271|84|0.083
Zack Littell|R|14|2.93|2.88|14.36|14.38|0.56|0.234|79|0.071
Max Scherzer|R|11|2.91|2.88|12.27|13|0.564|0.398|76|0
Brayan Bello|R|8|2.75|2.75|13.38|13.38|0.505|0.253|89|0
Miles Mikolas|R|11|2.73|2.38|14.45|15.25|0.37|0.254|83|0
Simeon Woods Richardson|R|10|2.4|2.25|13.4|12.38|0.403|0.252|81|0
Jose Quintana|L|9|2.22|2.25|13.67|13.75|0.704|0.319|76|0.111
Braydon Fisher|R|8|1.13|1.13|3.38|3.38|1.206|0.153|17|0
PJ Poulin|L|11|1|1.13|4.09|4.63|0.894|0.37|21|0
